"last_name, first_name",player_id,year,woba
"Muncy, Max",571970,2024,0.352
"Pagés, Pedro",686780,2024,0.276
"Estrada, Thairo",642731,2024,0.256
"Fraley, Jake",641584,2024,0.304
"Arias, Gabriel",672356,2024,0.263
"Profar, Jurickson",595777,2024,0.366
"Marte, Ketel",606466,2024,0.389
"Farmer, Kyle",571657,2024,0.26
"McGuire, Reese",624512,2024,0.258
"Scott II, Victor",687363,2024,0.214
"Turang, Brice",668930,2024,0.298
"Carlson, Dylan",666185,2024,0.257
"Newman, Kevin",621028,2024,0.298
"Jackson, Alex",656577,2024,0.2
"Frazier, Adam",624428,2024,0.258
"Cowser, Colton",681297,2024,0.332
"Smith, Will",669257,2024,0.324
"Senzel, Nick",669222,2024,0.273
"Kiermaier, Kevin",595281,2024,0.24
"Tellez, Rowdy",642133,2024,0.31
"Hernaiz, Darell",687231,2024,0.233
"Realmuto, J.T.",592663,2024,0.316
"O'Neill, Tyler",641933,2024,0.364
"Chisholm Jr., Jazz",665862,2024,0.338
"Horwitz, Spencer",687462,2024,0.336
"Abrams, CJ",682928,2024,0.321
"Refsnyder, Rob",608701,2024,0.344
"Harris II, Michael",671739,2024,0.286
"Urías, Ramón",602104,2024,0.329
